Time,Rocket_X,Rocket_Y,Rocket_Z
20,0.940692,-0.338409,0
20.1,0.941183,-0.338464,0
20.2,0.941669,-0.338519,0
20.3,0.942153,-0.338574,0
20.4,0.942633,-0.338629,0
20.5,0.943111,-0.338682,0
20.6,0.943586,-0.338734,0
20.7,0.944058,-0.338786,0
20.8,0.944527,-0.338837,0
20.9,0.944993,-0.338886,0
21,0.945457,-0.338935,0
21.1,0.945918,-0.338983,0
21.2,0.946376,-0.339029,0
21.3,0.946831,-0.339075,0
21.4,0.947284,-0.33912,0
21.5,0.947734,-0.339164,0
21.6,0.948181,-0.339207,0
21.7,0.948625,-0.339249,0
21.8,0.949067,-0.339289,0
21.9,0.949506,-0.339329,0
22,0.949942,-0.339368,0
22.1,0.950375,-0.339406,0
22.2,0.950806,-0.339443,0
22.3,0.951234,-0.33948,0
22.4,0.951659,-0.339515,0
22.5,0.952082,-0.339549,0
22.6,0.952502,-0.339582,0
22.7,0.952919,-0.339614,0
22.8,0.953333,-0.339645,0
22.9,0.953745,-0.339676,0
23,0.954154,-0.339705,0
23.1,0.95456,-0.339733,0
23.2,0.954963,-0.339761,0
23.3,0.955364,-0.339787,0
23.4,0.955762,-0.339813,0
23.5,0.956158,-0.339837,0
23.6,0.956551,-0.339861,0
23.7,0.956941,-0.339883,0
23.8,0.957328,-0.339905,0
23.9,0.957712,-0.339925,0
24,0.958094,-0.339945,0
24.1,0.958474,-0.339964,0
24.2,0.95885,-0.339982,0
24.3,0.959224,-0.339999,0
24.4,0.959595,-0.340015,0
24.5,0.959964,-0.34003,0
24.6,0.960329,-0.340044,0
24.7,0.960693,-0.340057,0
24.8,0.961053,-0.340069,0
24.9,0.961411,-0.34008,0
25,0.961766,-0.34009,0
25.1,0.962118,-0.340099,0
25.2,0.962468,-0.340108,0
25.3,0.962815,-0.340115,0
25.4,0.96316,-0.340122,0
25.5,0.963501,-0.340127,0
25.6,0.96384,-0.340132,0
25.7,0.964177,-0.340135,0
25.8,0.964511,-0.340138,0
25.9,0.964842,-0.34014,0
26,0.96517,-0.340141,0
26.1,0.965496,-0.340141,0
26.2,0.965819,-0.34014,0
26.3,0.966139,-0.340138,0
26.4,0.966457,-0.340135,0
26.5,0.966772,-0.340131,0
26.6,0.967085,-0.340126,0
26.7,0.967395,-0.34012,0
26.8,0.967702,-0.340114,0
26.9,0.968007,-0.340106,0
27,0.968309,-0.340098,0
27.1,0.968608,-0.340088,0
27.2,0.968905,-0.340078,0
27.3,0.969199,-0.340067,0
27.4,0.96949,-0.340054,0
27.5,0.969779,-0.340041,0
27.6,0.970065,-0.340027,0
27.7,0.970348,-0.340012,0
27.8,0.970629,-0.339996,0
27.9,0.970907,-0.33998,0
28,0.971183,-0.339962,0
28.1,0.971456,-0.339943,0
28.2,0.971726,-0.339924,0
28.3,0.971994,-0.339903,0
28.4,0.972259,-0.339882,0
28.5,0.972521,-0.339859,0
28.6,0.972781,-0.339836,0
28.7,0.973038,-0.339812,0
28.8,0.973293,-0.339787,0
28.9,0.973545,-0.339761,0
29,0.973794,-0.339734,0
29.1,0.974041,-0.339706,0
29.2,0.974285,-0.339677,0
29.3,0.974526,-0.339648,0
29.4,0.974765,-0.339617,0
29.5,0.975001,-0.339586,0
29.6,0.975235,-0.339553,0
29.7,0.975466,-0.33952,0
29.8,0.975694,-0.339486,0
29.9,0.97592,-0.339451,0
30,0.976143,-0.339415,0
30.1,0.976364,-0.339378,0
30.2,0.976582,-0.33934,0
30.3,0.976797,-0.339301,0
30.4,0.97701,-0.339262,0
30.5,0.97722,-0.339221,0
30.6,0.977428,-0.33918,0
30.7,0.977633,-0.339137,0
30.8,0.977835,-0.339094,0
30.9,0.978035,-0.33905,0
31,0.978232,-0.339005,0
31.1,0.978426,-0.338959,0
31.2,0.978618,-0.338912,0
31.3,0.978808,-0.338864,0
31.4,0.978994,-0.338816,0
31.5,0.979179,-0.338766,0
31.6,0.97936,-0.338716,0
31.7,0.979539,-0.338664,0
31.8,0.979715,-0.338612,0
31.9,0.979889,-0.338559,0
32,0.98006,-0.338505,0
32.1,0.980229,-0.33845,0
32.2,0.980395,-0.338394,0
32.3,0.980558,-0.338338,0
32.4,0.980719,-0.33828,0
32.5,0.980877,-0.338221,0
32.6,0.981033,-0.338162,0
32.7,0.981186,-0.338102,0
32.8,0.981336,-0.338041,0
32.9,0.981484,-0.337978,0
33,0.981629,-0.337915,0
33.1,0.981772,-0.337852,0
33.2,0.981912,-0.337787,0
33.3,0.982049,-0.337721,0
33.4,0.982184,-0.337655,0
33.5,0.982317,-0.337587,0
33.6,0.982446,-0.337519,0
33.7,0.982574,-0.33745,0
