Time,Traj_X,Traj_Y,Traj_Z
65,0.406814,0.90577,0
65.005,0.406732,0.905819,0
65.01,0.406649,0.905867,0
65.015,0.406566,0.905916,0
65.02,0.406483,0.905964,0
65.025,0.406401,0.906013,0
65.03,0.406318,0.906061,0
65.035,0.406235,0.90611,0
65.04,0.406153,0.906158,0
65.045,0.40607,0.906207,0
65.05,0.405987,0.906255,0
65.055,0.405904,0.906303,0
65.06,0.405822,0.906352,0
65.065,0.405739,0.9064,0
65.07,0.405656,0.906449,0
65.075,0.405573,0.906497,0
65.08,0.405491,0.906546,0
65.085,0.405408,0.906594,0
65.09,0.405325,0.906642,0
65.095,0.405242,0.906691,0
65.1,0.40516,0.906739,0
65.105,0.405077,0.906787,0
65.11,0.404994,0.906836,0
65.115,0.404911,0.906884,0
65.12,0.404829,0.906932,0
65.125,0.404746,0.906981,0
65.13,0.404663,0.907029,0
65.135,0.40458,0.907077,0
65.14,0.404498,0.907126,0
65.145,0.404415,0.907174,0
65.15,0.404332,0.907222,0
65.155,0.404249,0.907271,0
65.16,0.404166,0.907319,0
65.165,0.404084,0.907367,0
65.17,0.404001,0.907415,0
65.175,0.403918,0.907464,0
65.18,0.403835,0.907512,0
65.185,0.403752,0.90756,0
65.19,0.40367,0.907608,0
65.195,0.403587,0.907657,0
65.2,0.403504,0.907705,0
65.205,0.403421,0.907753,0
65.21,0.403338,0.907801,0
65.215,0.403256,0.90785,0
65.22,0.403173,0.907898,0
65.225,0.40309,0.907946,0
65.23,0.403007,0.907994,0
65.235,0.402924,0.908042,0
65.24,0.402841,0.908091,0
65.245,0.402759,0.908139,0
65.25,0.402676,0.908187,0
65.255,0.402593,0.908235,0
65.26,0.40251,0.908283,0
65.265,0.402427,0.908331,0
65.27,0.402344,0.908379,0
65.275,0.402261,0.908428,0
65.28,0.402179,0.908476,0
65.285,0.402096,0.908524,0
65.29,0.402013,0.908572,0
65.295,0.40193,0.90862,0
65.3,0.401847,0.908668,0
65.305,0.401764,0.908716,0
65.31,0.401681,0.908764,0
65.315,0.401598,0.908812,0
65.32,0.401516,0.90886,0
65.325,0.401433,0.908909,0
65.33,0.40135,0.908957,0
65.335,0.401267,0.909005,0
65.34,0.401184,0.909053,0
65.345,0.401101,0.909101,0
65.35,0.401018,0.909149,0
65.355,0.400935,0.909197,0
65.36,0.400852,0.909245,0
65.365,0.400769,0.909293,0
65.37,0.400686,0.909341,0
65.375,0.400604,0.909389,0
65.38,0.400521,0.909437,0
65.385,0.400438,0.909485,0
65.39,0.400355,0.909533,0
65.395,0.400272,0.909581,0
65.4,0.400189,0.909629,0
65.405,0.400106,0.909677,0
65.41,0.400023,0.909724,0
65.415,0.39994,0.909772,0
65.42,0.399857,0.90982,0
65.425,0.399774,0.909868,0
65.43,0.399691,0.909916,0
65.435,0.399608,0.909964,0
65.44,0.399525,0.910012,0
65.445,0.399442,0.91006,0
65.45,0.399359,0.910108,0
65.455,0.399276,0.910156,0
65.46,0.399193,0.910204,0
65.465,0.39911,0.910251,0
65.47,0.399027,0.910299,0
65.475,0.398944,0.910347,0
65.48,0.398862,0.910395,0
65.485,0.398779,0.910443,0
65.49,0.398696,0.910491,0
65.495,0.398613,0.910538,0
65.5,0.39853,0.910586,0
65.505,0.398447,0.910634,0
65.51,0.398364,0.910682,0
65.515,0.398281,0.91073,0
65.52,0.398198,0.910778,0
65.525,0.398115,0.910825,0
65.53,0.398032,0.910873,0
65.535,0.397948,0.910921,0
65.54,0.397865,0.910969,0
65.545,0.397782,0.911016,0
65.55,0.397699,0.911064,0
65.555,0.397616,0.911112,0
65.56,0.397533,0.91116,0
65.565,0.39745,0.911207,0
65.57,0.397367,0.911255,0
65.575,0.397284,0.911303,0
65.58,0.397201,0.91135,0
65.585,0.397118,0.911398,0
65.59,0.397035,0.911446,0
65.595,0.396952,0.911494,0
65.6,0.396869,0.911541,0
65.605,0.396786,0.911589,0
65.61,0.396703,0.911637,0
65.615,0.39662,0.911684,0
65.62,0.396537,0.911732,0
65.625,0.396454,0.91178,0
65.63,0.396371,0.911827,0
65.635,0.396288,0.911875,0
65.64,0.396204,0.911922,0
65.645,0.396121,0.91197,0
65.65,0.396038,0.912018,0
65.655,0.395955,0.912065,0
65.66,0.395872,0.912113,0
65.665,0.395789,0.912161,0
65.67,0.395706,0.912208,0
65.675,0.395623,0.912256,0
65.68,0.39554,0.912303,0
65.685,0.395457,0.912351,0
65.69,0.395373,0.912398,0
65.695,0.39529,0.912446,0
65.7,0.395207,0.912493,0
65.705,0.395124,0.912541,0
65.71,0.395041,0.912589,0
65.715,0.394958,0.912636,0
65.72,0.394875,0.912684,0
65.725,0.394792,0.912731,0
65.73,0.394708,0.912779,0
65.735,0.394625,0.912826,0
65.74,0.394542,0.912874,0
65.745,0.394459,0.912921,0
65.75,0.394376,0.912969,0
65.755,0.394293,0.913016,0
65.76,0.39421,0.913064,0
65.765,0.394126,0.913111,0
65.77,0.394043,0.913158,0
65.775,0.39396,0.913206,0
65.78,0.393877,0.913253,0
65.785,0.393794,0.913301,0
65.79,0.393711,0.913348,0
65.795,0.393627,0.913396,0
65.8,0.393544,0.913443,0
65.805,0.393461,0.91349,0
65.81,0.393378,0.913538,0
65.815,0.393295,0.913585,0
65.82,0.393212,0.913633,0
65.825,0.393128,0.91368,0
65.83,0.393045,0.913727,0
65.835,0.392962,0.913775,0
65.84,0.392879,0.913822,0
65.845,0.392796,0.913869,0
65.85,0.392712,0.913917,0
65.855,0.392629,0.913964,0
65.86,0.392546,0.914011,0
65.865,0.392463,0.914059,0
65.87,0.39238,0.914106,0
65.875,0.392296,0.914153,0
65.88,0.392213,0.914201,0
65.885,0.39213,0.914248,0
65.89,0.392047,0.914295,0
65.895,0.391963,0.914342,0
65.9,0.39188,0.91439,0
65.905,0.391797,0.914437,0
65.91,0.391714,0.914484,0
65.915,0.39163,0.914531,0
65.92,0.391547,0.914579,0
65.925,0.391464,0.914626,0
65.93,0.391381,0.914673,0
65.935,0.391297,0.91472,0
65.94,0.391214,0.914768,0
65.945,0.391131,0.914815,0
65.95,0.391048,0.914862,0
65.955,0.390964,0.914909,0
65.96,0.390881,0.914956,0
65.965,0.390798,0.915004,0
65.97,0.390715,0.915051,0
65.975,0.390631,0.915098,0
65.98,0.390548,0.915145,0
65.985,0.390465,0.915192,0
65.99,0.390381,0.915239,0
65.995,0.390298,0.915287,0
66,0.390215,0.915334,0
66.005,0.390132,0.915381,0
66.01,0.390048,0.915428,0
66.015,0.389965,0.915475,0
66.02,0.389882,0.915522,0
66.025,0.389798,0.915569,0
66.03,0.389715,0.915616,0
66.035,0.389632,0.915663,0
66.04,0.389548,0.91571,0
66.045,0.389465,0.915758,0
66.05,0.389382,0.915805,0
66.055,0.389298,0.915852,0
66.06,0.389215,0.915899,0
66.065,0.389132,0.915946,0
66.07,0.389048,0.915993,0
66.075,0.388965,0.91604,0
66.08,0.388882,0.916087,0
66.085,0.388798,0.916134,0
66.09,0.388715,0.916181,0
66.095,0.388632,0.916228,0
66.1,0.388548,0.916275,0
66.105,0.388465,0.916322,0
66.11,0.388382,0.916369,0
66.115,0.388298,0.916416,0
66.12,0.388215,0.916463,0
66.125,0.388132,0.91651,0
66.13,0.388048,0.916557,0
66.135,0.387965,0.916604,0
66.14,0.387881,0.916651,0
66.145,0.387798,0.916698,0
66.15,0.387715,0.916744,0
66.155,0.387631,0.916791,0
66.16,0.387548,0.916838,0
66.165,0.387465,0.916885,0
66.17,0.387381,0.916932,0
66.175,0.387298,0.916979,0
66.18,0.387214,0.917026,0
66.185,0.387131,0.917073,0
66.19,0.387048,0.91712,0
66.195,0.386964,0.917167,0
66.2,0.386881,0.917213,0
66.205,0.386797,0.91726,0
66.21,0.386714,0.917307,0
66.215,0.38663,0.917354,0
66.22,0.386547,0.917401,0
66.225,0.386464,0.917448,0
66.23,0.38638,0.917494,0
66.235,0.386297,0.917541,0
66.24,0.386213,0.917588,0
66.245,0.38613,0.917635,0
66.25,0.386046,0.917682,0
66.255,0.385963,0.917728,0
66.26,0.38588,0.917775,0
66.265,0.385796,0.917822,0
66.27,0.385713,0.917869,0
66.275,0.385629,0.917915,0
66.28,0.385546,0.917962,0
66.285,0.385462,0.918009,0
66.29,0.385379,0.918056,0
66.295,0.385295,0.918102,0
66.3,0.385212,0.918149,0
66.305,0.385128,0.918196,0
66.31,0.385045,0.918243,0
66.315,0.384962,0.918289,0
66.32,0.384878,0.918336,0
66.325,0.384795,0.918383,0
66.33,0.384711,0.918429,0
66.335,0.384628,0.918476,0
66.34,0.384544,0.918523,0
66.345,0.384461,0.918569,0
66.35,0.384377,0.918616,0
66.355,0.384294,0.918663,0
66.36,0.38421,0.918709,0
66.365,0.384127,0.918756,0
66.37,0.384043,0.918802,0
66.375,0.38396,0.918849,0
66.38,0.383876,0.918896,0
66.385,0.383793,0.918942,0
66.39,0.383709,0.918989,0
66.395,0.383626,0.919035,0
66.4,0.383542,0.919082,0
66.405,0.383458,0.919129,0
66.41,0.383375,0.919175,0
66.415,0.383291,0.919222,0
66.42,0.383208,0.919268,0
66.425,0.383124,0.919315,0
66.43,0.383041,0.919361,0
66.435,0.382957,0.919408,0
66.44,0.382874,0.919454,0
66.445,0.38279,0.919501,0
66.45,0.382707,0.919548,0
66.455,0.382623,0.919594,0
66.46,0.382539,0.919641,0
66.465,0.382456,0.919687,0
66.47,0.382372,0.919734,0
66.475,0.382289,0.91978,0
66.48,0.382205,0.919826,0
66.485,0.382122,0.919873,0
66.49,0.382038,0.919919,0
66.495,0.381954,0.919966,0
66.5,0.381871,0.920012,0
66.505,0.381787,0.920059,0
66.51,0.381704,0.920105,0
66.515,0.38162,0.920152,0
66.52,0.381537,0.920198,0
66.525,0.381453,0.920244,0
66.53,0.381369,0.920291,0
66.535,0.381286,0.920337,0
66.54,0.381202,0.920384,0
66.545,0.381119,0.92043,0
66.55,0.381035,0.920476,0
66.555,0.380951,0.920523,0
66.56,0.380868,0.920569,0
66.565,0.380784,0.920615,0
66.57,0.3807,0.920662,0
66.575,0.380617,0.920708,0
66.58,0.380533,0.920754,0
66.585,0.38045,0.920801,0
66.59,0.380366,0.920847,0
66.595,0.380282,0.920893,0
66.6,0.380199,0.92094,0
66.605,0.380115,0.920986,0
66.61,0.380031,0.921032,0
66.615,0.379948,0.921079,0
66.62,0.379864,0.921125,0
66.625,0.37978,0.921171,0
66.63,0.379697,0.921217,0
66.635,0.379613,0.921264,0
66.64,0.379529,0.92131,0
66.645,0.379446,0.921356,0
66.65,0.379362,0.921402,0
66.655,0.379278,0.921449,0
66.66,0.379195,0.921495,0
66.665,0.379111,0.921541,0
66.67,0.379027,0.921587,0
66.675,0.378944,0.921634,0
66.68,0.37886,0.92168,0
66.685,0.378776,0.921726,0
66.69,0.378693,0.921772,0
66.695,0.378609,0.921818,0
66.7,0.378525,0.921864,0
66.705,0.378442,0.921911,0
66.71,0.378358,0.921957,0
66.715,0.378274,0.922003,0
66.72,0.37819,0.922049,0
66.725,0.378107,0.922095,0
66.73,0.378023,0.922141,0
66.735,0.377939,0.922187,0
66.74,0.377856,0.922234,0
66.745,0.377772,0.92228,0
66.75,0.377688,0.922326,0
66.755,0.377604,0.922372,0
66.76,0.377521,0.922418,0
66.765,0.377437,0.922464,0
66.77,0.377353,0.92251,0
66.775,0.377269,0.922556,0
66.78,0.377186,0.922602,0
66.785,0.377102,0.922648,0
66.79,0.377018,0.922694,0
66.795,0.376934,0.92274,0
66.8,0.376851,0.922786,0
66.805,0.376767,0.922832,0
66.81,0.376683,0.922878,0
66.815,0.376599,0.922924,0
66.82,0.376516,0.92297,0
66.825,0.376432,0.923016,0
66.83,0.376348,0.923062,0
66.835,0.376264,0.923108,0
66.84,0.376181,0.923154,0
66.845,0.376097,0.9232,0
66.85,0.376013,0.923246,0
66.855,0.375929,0.923292,0
